,Max_attempts,RHC,SA,GA
0,1,0.6349862258953168,0.5523415977961432,0.3939393939393939
1,5,0.6955922865013774,0.7975206611570248,0.39118457300275483
2,10,0.8801652892561983,0.8126721763085399,0.39118457300275483
3,15,0.8856749311294766,0.8071625344352618,0.39118457300275483
4,20,0.8925619834710744,0.7988980716253443,0.39118457300275483
