,max_attempts,max_iters,restart,accuracy_train,accuracy_test,train_time
0,1.0,200.0,0.0,0.5864371772805509,0.6157024793388429,0.03648037500170176
1,1.0,200.0,20.0,0.6177725681049321,0.6336088154269972,0.3535527079984604
2,1.0,200.0,40.0,0.6084717193898748,0.6349862258953168,0.7651867919994402
3,1.0,200.0,60.0,0.6064039408866995,0.6308539944903582,1.0222414589989057
4,1.0,400.0,0.0,0.5864294616891209,0.6157024793388429,0.015033667001262074
5,1.0,400.0,20.0,0.6177725681049321,0.6336088154269972,0.3440122909996717
6,1.0,400.0,40.0,0.6084717193898748,0.6349862258953168,0.7371117500006221
7,1.0,400.0,60.0,0.6064039408866995,0.6308539944903582,1.1629577500025334
8,1.0,600.0,0.0,0.5864294616891209,0.6157024793388429,0.014857000001939014
9,1.0,600.0,20.0,0.6177725681049321,0.6336088154269972,0.3861012909983401
10,1.0,600.0,40.0,0.6084717193898748,0.6349862258953168,0.7297011250011565
11,1.0,600.0,60.0,0.6064039408866995,0.6308539944903582,0.9697528750002675
12,1.0,800.0,0.0,0.5864294616891209,0.6157024793388429,0.014911374997609528
13,1.0,800.0,20.0,0.6177725681049321,0.6336088154269972,0.353586458000791
14,1.0,800.0,40.0,0.6084717193898748,0.6349862258953168,0.7727379579991975
15,1.0,800.0,60.0,0.6064039408866995,0.6308539944903582,1.1609597910028242
16,1.0,1000.0,0.0,0.5864294616891209,0.6157024793388429,0.012035040999762714
17,1.0,1000.0,20.0,0.6177725681049321,0.6336088154269972,0.31494074999864097
18,1.0,1000.0,40.0,0.6084717193898748,0.6349862258953168,0.6792899590000161
19,1.0,1000.0,60.0,0.6064039408866995,0.6308539944903582,1.1114895840000827
20,1.0,1200.0,0.0,0.5864294616891209,0.6157024793388429,0.012253375000000233
21,1.0,1200.0,20.0,0.6177725681049321,0.6336088154269972,0.31273054200210026
22,1.0,1200.0,40.0,0.6084717193898748,0.6349862258953168,0.8343905839974468
23,1.0,1200.0,60.0,0.6064039408866995,0.6308539944903582,1.160888292000891
24,1.0,1400.0,0.0,0.5864294616891209,0.6157024793388429,0.012031792000925634
