,max_attempts,max_iters,pop_sizes,mutation_probs,accuracy_train,accuracy_test,train_time
0,1.0,400.0,100.0,0.05,0.39151641046946406,0.39118457300275483,1.360982416999999
1,1.0,2000.0,100.0,0.05,0.39187429521039824,0.39118457300275483,1.3904567500000002
2,5.0,400.0,100.0,0.05,0.39187429521039824,0.39118457300275483,7.353772875000001
3,5.0,2000.0,100.0,0.05,0.39152531307495997,0.39118457300275483,7.33661
4,10.0,400.0,100.0,0.05,0.391536589708588,0.39118457300275483,20.212600958000003
5,10.0,2000.0,100.0,0.05,0.39152650008902606,0.39118457300275483,17.301983999999997
6,20.0,400.0,100.0,0.05,0.3915312481452905,0.39118457300275483,68.382317541
7,20.0,2000.0,100.0,0.05,0.3915318416523236,0.39118457300275483,63.861331417
8,1.0,400.0,200.0,0.05,0.391535996201555,0.39118457300275483,2.993848583000016
9,1.0,2000.0,200.0,0.05,0.39152531307495997,0.39118457300275483,3.893297582999992
10,5.0,400.0,200.0,0.05,0.3915276871030922,0.39118457300275483,13.873726041999987
11,5.0,2000.0,200.0,0.05,0.39118523354501755,0.39118457300275483,15.62275704199999
12,10.0,400.0,200.0,0.05,0.3915318416523236,0.39118457300275483,46.613379958999985
13,10.0,2000.0,200.0,0.05,0.3915181909905633,0.39118457300275483,32.36959433300001
14,20.0,400.0,200.0,0.05,0.3915354026945219,0.39118457300275483,117.07043700000003
15,20.0,2000.0,200.0,0.05,0.3915312481452905,0.39118457300275483,143.04788050000002
16,1.0,400.0,300.0,0.05,0.3915223455397947,0.39118457300275483,5.506784375000052
17,1.0,2000.0,300.0,0.05,0.39119888420677784,0.39118457300275483,5.800972750000028
18,5.0,400.0,300.0,0.05,0.391525906581993,0.39118457300275483,29.703972625000006
19,5.0,2000.0,300.0,0.05,0.39152828061012523,0.39118457300275483,23.798202167
20,10.0,400.0,300.0,0.05,0.39152531307495997,0.39118457300275483,61.45688587500001
21,10.0,2000.0,300.0,0.05,0.39152293904682767,0.39118457300275483,46.32677816700004
22,20.0,400.0,300.0,0.05,0.39152828061012523,0.39118457300275483,191.29827450000005
23,20.0,2000.0,300.0,0.05,0.39151522345539796,0.39118457300275483,174.81001349999997
24,1.0,400.0,100.0,0.1,0.3918784497596296,0.39118457300275483,1.3079889170001024
25,1.0,2000.0,100.0,0.1,0.39188379132292717,0.39118457300275483,1.3131336250000913
26,5.0,400.0,100.0,0.1,0.39188379132292717,0.39118457300275483,4.421091458000092
27,5.0,2000.0,100.0,0.1,0.3918784497596296,0.39118457300275483,3.4622226670001055
28,10.0,400.0,100.0,0.1,0.392909371476052,0.39118457300275483,18.26767791600014
29,10.0,2000.0,100.0,0.1,0.39152946762419133,0.39118457300275483,15.32531062499993
30,20.0,400.0,100.0,0.1,0.39152531307495997,0.39118457300275483,41.62277412499998
31,20.0,2000.0,100.0,0.1,0.39152887411715825,0.39118457300275483,37.64056116699999
32,1.0,400.0,200.0,0.1,0.3915306546382575,0.39118457300275483,4.03910254099992
33,1.0,2000.0,200.0,0.1,0.39117751795358774,0.39118457300275483,3.8669676249999156
34,5.0,400.0,200.0,0.1,0.39118167250281916,0.39118457300275483,15.368644041000152
35,5.0,2000.0,200.0,0.1,0.3915336221734228,0.39118457300275483,11.163960374999988
36,10.0,400.0,200.0,0.1,0.39084574752210816,0.39118457300275483,36.31542395800011
37,10.0,2000.0,200.0,0.1,0.39118285951688525,0.39118457300275483,30.50104245899979
38,20.0,400.0,200.0,0.1,0.3918802302807288,0.39118457300275483,78.48893924999993
39,20.0,2000.0,200.0,0.1,0.3915342156804558,0.39118457300275483,76.20573612500016
40,1.0,400.0,300.0,0.1,0.391190575108315,0.39118457300275483,5.383247875000052
41,1.0,2000.0,300.0,0.1,0.3918600510416049,0.39118457300275483,4.593440792000138
42,5.0,400.0,300.0,0.1,0.39359546560626746,0.39118457300275483,16.38425783400021
43,5.0,2000.0,300.0,0.1,0.39151700397649714,0.39118457300275483,13.485381624999945
44,10.0,400.0,300.0,0.1,0.391526500089026,0.39118457300275483,27.394355583000106
45,10.0,2000.0,300.0,0.1,0.3946275743367559,0.39118457300275483,36.06028479099996
46,20.0,400.0,300.0,0.1,0.39153777672265416,0.39118457300275483,114.60576062500013
47,20.0,2000.0,300.0,0.1,0.39151819099056323,0.39118457300275483,100.3644405
48,1.0,400.0,100.0,0.2,0.39153243515935665,0.39118457300275483,1.3162537499999871
49,1.0,2000.0,100.0,0.2,0.39152828061012523,0.39118457300275483,1.2902043750000303
50,5.0,400.0,100.0,0.2,0.39152828061012523,0.39118457300275483,4.49248549999993
51,5.0,2000.0,100.0,0.2,0.3915128494272657,0.39118457300275483,5.196523708999848
52,10.0,400.0,100.0,0.2,0.39187548222446433,0.39118457300275483,12.461486625000134
53,10.0,2000.0,100.0,0.2,0.39152234553979465,0.39118457300275483,7.701174333000154
54,20.0,400.0,100.0,0.2,0.39118107899578614,0.39118457300275483,17.01718562499991
55,20.0,2000.0,100.0,0.2,0.3915306546382574,0.39118457300275483,25.704488583000057
56,1.0,400.0,200.0,0.2,0.3922375215146299,0.3939393939393939,2.604213082999877
57,1.0,2000.0,200.0,0.2,0.3922167487684729,0.3939393939393939,2.5473013330001777
58,5.0,400.0,200.0,0.2,0.39118285951688525,0.39118457300275483,12.410336833000201
59,5.0,2000.0,200.0,0.2,0.39153896373672026,0.39118457300275483,13.483980333999853
60,10.0,400.0,200.0,0.2,0.39118167250281916,0.39118457300275483,30.75517279199994
61,10.0,2000.0,200.0,0.2,0.3915371832156211,0.39118457300275483,22.952039125000056
62,20.0,400.0,200.0,0.2,0.39152887411715825,0.39118457300275483,64.54386329099998
63,20.0,2000.0,200.0,0.2,0.39117989198171993,0.39118457300275483,50.54771924999977
64,1.0,400.0,300.0,0.2,0.39152175203276157,0.39118457300275483,4.605001041999913
65,1.0,2000.0,300.0,0.2,0.3915193780046294,0.39118457300275483,4.606786374999956
66,5.0,400.0,300.0,0.2,0.3915193780046294,0.39118457300275483,15.775146499999664
67,5.0,2000.0,300.0,0.2,0.3915211585257285,0.39118457300275483,25.728445833000023
68,10.0,400.0,300.0,0.2,0.39152828061012523,0.39118457300275483,46.41083137500027
69,10.0,2000.0,300.0,0.2,0.39152828061012523,0.39118457300275483,29.859116290999737
70,20.0,400.0,300.0,0.2,0.3915407442578195,0.39118457300275483,73.17018499999995
71,20.0,2000.0,300.0,0.2,0.39152175203276157,0.39118457300275483,90.69864312500022
